api_id,name,category_large,category_medium,transport,method,url,req_body_fields,resp_body_fields
usa24141,미국주식 갭상승/갭하락(ETF),미국주식,종목정보,REST,POST,/api/us/stkinfo,10,1
usa24150,미국주식 회전율 상위(주식/업종),미국주식,순위정보,REST,POST,/api/us/rkinfo,7,1
usa24151,미국주식 회전율 상위(ETF),미국주식,순위정보,REST,POST,/api/us/rkinfo,7,1
usa24160,미국주식 연속상승/하락 순위(주식/업종),미국주식,순위정보,REST,POST,/api/us/rkinfo,8,1
usa24161,미국주식 연속상승/하락 순위(ETF),미국주식,순위정보,REST,POST,/api/us/rkinfo,8,1
usa24162,미국주식 연속상승/하락 순위(관심종목),미국주식,순위정보,REST,POST,/api/us/rkinfo,7,1
usa24200,미국주식 호가잔량상위(주식/업종),미국주식,순위정보,REST,POST,/api/us/rkinfo,8,1
usa24201,미국주식 호가잔량상위(ETF),미국주식,순위정보,REST,POST,/api/us/rkinfo,8,1
usa24210,미국주식 잔량률급증(주식/업종),미국주식,종목정보,REST,POST,/api/us/stkinfo,9,1
usa24211,미국주식 잔량률급증(ETF),미국주식,종목정보,REST,POST,/api/us/stkinfo,9,1
usa24220,미국주식 매물대집중(주식/업종),미국주식,종목정보,REST,POST,/api/us/stkinfo,10,1
usa24221,미국주식 매물대집중(ETF),미국주식,종목정보,REST,POST,/api/us/stkinfo,10,1
usa24290,미국주식 주간거래 괴리율 상위(주식/업종),미국주식,순위정보,REST,POST,/api/us/rkinfo,9,1
usa24291,미국주식 주간거래 괴리율 상위(ETF),미국주식,순위정보,REST,POST,/api/us/rkinfo,8,1
usa24300,미국주식 리서치(미국주식/ETF),미국주식,투자정보,REST,POST,/api/us/invtinfo,1,1
usa26410,미국주식 연도별 등락률(종목),미국주식,종목정보,REST,POST,/api/us/stkinfo,2,1
usa26411,미국주식 연도별 업종별 종목등락률,미국주식,종목정보,REST,POST,/api/us/stkinfo,2,1
usa26412,미국주식 연도별 ETF 카테고리별 종목등락률,미국주식,종목정보,REST,POST,/api/us/stkinfo,3,1
usa26413,미국주식 연도별 등락률(업종),미국주식,종목정보,REST,POST,/api/us/stkinfo,1,1
usa26414,미국주식 연도별 등락률(ETF),미국주식,종목정보,REST,POST,/api/us/stkinfo,2,1
ust20000,미국주식 매수 주문,미국주식,주문,REST,POST,/api/us/ordr,5,6
ust20001,미국주식 매도 주문,미국주식,주문,REST,POST,/api/us/ordr,6,5
ust20002,미국주식 정정 주문,미국주식,주문,REST,POST,/api/us/ordr,5,7
ust20003,미국주식 취소 주문,미국주식,주문,REST,POST,/api/us/ordr,3,3
ust21050,미국주식 원장 미체결,미국주식,계좌,REST,POST,/api/us/acnt,4,1
ust21070,미국주식 원장잔고확인,미국주식,계좌,REST,POST,/api/us/acnt,2,14
ust21100,미국주식 거래내역,미국주식,계좌,REST,POST,/api/us/acnt,6,4
ust21110,해외주식 예수금,미국주식,계좌,REST,POST,/api/us/acnt,0,4
ust21111,원화출금가능 금액 조회(원화대용 포함),미국주식,계좌,REST,POST,/api/us/acnt,0,3
ust21120,통화별 예수금 및 증권 평가금현황,미국주식,계좌,REST,POST,/api/us/acnt,2,3
ust21121,해외증권 원장 평가금액현황,미국주식,계좌,REST,POST,/api/us/acnt,2,1
ust21131,해외증권 특정일 평가금액,미국주식,계좌,REST,POST,/api/us/acnt,1,1
ust21132,특정일 통화별 예수금 및 증권 평가금,미국주식,계좌,REST,POST,/api/us/acnt,1,7
ust21150,미국주식 일별 주문체결내역,미국주식,계좌,REST,POST,/api/us/acnt,7,1
ust21160,미국주식 예수금 상세,미국주식,계좌,REST,POST,/api/us/acnt,0,32
ust21170,미국주식 당일 종목별 실현손익,미국주식,계좌,REST,POST,/api/us/acnt,1,8
ust21180,미국주식 기간별 주문내역,미국주식,계좌,REST,POST,/api/us/acnt,6,1
ust21510,미국주식 당일 주문체결 확인,미국주식,계좌,REST,POST,/api/us/acnt,3,1
ust21530,미국주식 실현손익,미국주식,계좌,REST,POST,/api/us/acnt,3,7
ust21610,미국주식 당일매매,미국주식,계좌,REST,POST,/api/us/acnt,3,8
ust21620,미국주식 당일매매정리,미국주식,계좌,REST,POST,/api/us/acnt,3,1
ust21630,미국주식 당일 실현손익,미국주식,계좌,REST,POST,/api/us/acnt,3,3
ust21640,미국주식 일별 종목별 실현손익,미국주식,계좌,REST,POST,/api/us/acnt,4,3
ust21650,미국주식 기간별 수익률 현황,미국주식,계좌,REST,POST,/api/us/acnt,2,27
ust21660,미국주식 일별 실현손익,미국주식,계좌,REST,POST,/api/us/acnt,2,6
ust21661,미국주식 월별 실현손익,미국주식,계좌,REST,POST,/api/us/acnt,2,6
ust31300,환전 예상 금액 조회,미국주식,환전,REST,POST,/api/us/exchange,2,14
ust31301,환율 조회,미국주식,환전,REST,POST,/api/us/exchange,1,6
ust31302,환전 신청,미국주식,환전,REST,POST,/api/us/exchange,2,28
ust31490,미국주식 주문가능수량(종목/증거금률별),미국주식,주문,REST,POST,/api/us/ordr,3,29
00,주문체결,국내주식,실시간시세,WEBSOCKET,POST,/api/dostk/websocket,4,4
04,잔고,국내주식,실시간시세,WEBSOCKET,POST,/api/dostk/websocket,4,4
0A,주식기세,국내주식,실시간시세,WEBSOCKET,POST,/api/dostk/websocket,4,4
0B,주식체결,국내주식,실시간시세,WEBSOCKET,POST,/api/dostk/websocket,4,4
0C,주식우선호가,국내주식,실시간시세,WEBSOCKET,POST,/api/dostk/websocket,4,4
0D,주식호가잔량,국내주식,실시간시세,WEBSOCKET,POST,/api/dostk/websocket,4,4
0E,주식시간외호가,국내주식,실시간시세,WEBSOCKET,POST,/api/dostk/websocket,4,4
0F,주식당일거래원,국내주식,실시간시세,WEBSOCKET,POST,/api/dostk/websocket,4,4
0G,ETF NAV,국내주식,실시간시세,WEBSOCKET,POST,/api/dostk/websocket,4,4
0H,주식예상체결,국내주식,실시간시세,WEBSOCKET,POST,/api/dostk/websocket,4,4
0I,국제금환산가격,국내주식,실시간시세,WEBSOCKET,POST,/api/dostk/websocket,4,3
0J,업종지수,국내주식,실시간시세,WEBSOCKET,POST,/api/dostk/websocket,4,4
0U,업종등락,국내주식,실시간시세,WEBSOCKET,POST,/api/dostk/websocket,4,4
0g,주식종목정보,국내주식,실시간시세,WEBSOCKET,POST,/api/dostk/websocket,4,4
0m,ELW 이론가,국내주식,실시간시세,WEBSOCKET,POST,/api/dostk/websocket,4,4
0s,장시작시간,국내주식,실시간시세,WEBSOCKET,POST,/api/dostk/websocket,4,4
0u,ELW 지표,국내주식,실시간시세,WEBSOCKET,POST,/api/dostk/websocket,4,4
0w,종목프로그램매매,국내주식,실시간시세,WEBSOCKET,POST,/api/dostk/websocket,4,4
1h,VI발동/해제,국내주식,실시간시세,WEBSOCKET,POST,/api/dostk/websocket,4,4
F4,미국주식 실시간 주문 확인,미국주식,실시간시세,WEBSOCKET,POST,/api/us/websocket,4,4
F5,미국주식 실시간 체결,미국주식,실시간시세,WEBSOCKET,POST,/api/us/websocket,4,4
FE,미국주식 실시간 체결가,미국주식,실시간시세,WEBSOCKET,POST,/api/us/websocket,4,4
FT,미국주식 10호가,미국주식,실시간시세,WEBSOCKET,POST,/api/us/websocket,4,4
